Entity,Code,Year,Annual CO₂ emissions
Reunion,REU,2021,4102958.2
Romania,ROU,2021,79326856.0
Russia,RUS,2021,1755547400.0
Rwanda,RWA,2021,1754532.0
Saint Helena,SHN,2021,13785.0
Saint Kitts and Nevis,KNA,2021,237794.0
Saint Lucia,LCA,2021,485927.0
Saint Pierre and Miquelon,SPM,2021,62033.0
Saint Vincent and the Grenadines,VCT,2021,213670.0
Samoa,WSM,2021,294080.0
Sao Tome and Principe,STP,2021,131978.0
Saudi Arabia,SAU,2021,672379900.0
Senegal,SEN,2021,13597910.0
Serbia,SRB,2021,30868986.0
Seychelles,SYC,2021,568279.0
Sierra Leone,SLE,2021,1299404.0
Singapore,SGP,2021,32506890.0
Sint Maarten (Dutch part),SXM,2021,647902.0
Slovakia,SVK,2021,35308216.0
Slovenia,SVN,2021,12549330.0
Solomon Islands,SLB,2021,317925.0
Somalia,SOM,2021,610374.0
South Africa,ZAF,2021,435928900.0
South Korea,KOR,2021,616075000.0
South Sudan,SSD,2021,1582060.0
Spain,ESP,2021,233649540.0
Sri Lanka,LKA,2021,20780910.0
Sudan,SDN,2021,21038216.0
Suriname,SUR,2021,2793206.0
Sweden,SWE,2021,35848948.0
Switzerland,CHE,2021,34931692.0
Syria,SYR,2021,27000770.0
Taiwan,TWN,2021,282856060.0
Tajikistan,TJK,2021,10336408.0
Tanzania,TZA,2021,13058865.0
Thailand,THA,2021,278495700.0
Togo,TGO,2021,2342020.0
Tonga,TON,2021,174859.0
Trinidad and Tobago,TTO,2021,36124040.0
Tunisia,TUN,2021,31582746.0
Turkey,TUR,2021,446204200.0
Turkmenistan,TKM,2021,83006810.0
Turks and Caicos Islands,TCA,2021,341183.0
Tuvalu,TUV,2021,7948.0
Uganda,UGA,2021,5780464.0
Ukraine,UKR,2021,201857710.0
United Arab Emirates,ARE,2021,204086660.0
United Kingdom,GBR,2021,346773200.0
United States,USA,2021,5007336000.0
Uruguay,URY,2021,6737872.0
Uzbekistan,UZB,2021,121631480.0
Vanuatu,VUT,2021,174859.0
Venezuela,VEN,2021,79746600.0
Vietnam,VNM,2021,326013660.0
Wallis and Futuna,WLF,2021,27818.0
World,OWID_WRL,2021,37123850000.0
Yemen,YEM,2021,12476597.0
Zambia,ZMB,2021,7676180.0
Zimbabwe,ZWE,2021,11296114.0
